comment_id,original_text,platform,date_collected
1,ঠিক আছে কোয়ালিটির প্যাকেজিং।,Instagram,2026-04-09
2,চমৎকার কোয়ালিটির খাবারটা।,Instagram,2026-01-11
3,খুবই খারাপ কোয়ালিটির সিনেমাটা।,Facebook,2026-02-26
4,চমৎকার ডেলিভারি!,Daraz,2026-03-24
5,তাদের ভিডিওটা একদম গড়পড়তা।,Instagram,2026-03-01
6,ফোনটা অস্থির কিন্তু দাম বেশি।,TikTok,2026-01-26
7,এই ভিডিওটাটা বেশ খুবই ভালো। 🔥,TikTok,2026-01-14
8,খুবই খারাপ কোয়ালিটির খাবারটা।,Instagram,2026-03-09
9,অখাদ্য প্যাকেজিং!,Instagram,2026-03-21
10,জঘন্য প্যাকেজিং! 😚,Facebook,2026-01-31
11,ফোনটা আরও ভালো হতে পারত কিন্তু দাম বেশি। 🧒,Instagram,2026-02-24
12,গড়পড়তা কোয়ালিটির ফোনটা।,YouTube,2026-02-10
13,তাদের পণ্যটি একদম বেকার।,Instagram,2026-03-13
14,আরও ভালো হতে পারত কোয়ালিটির সিনেমাটা। 🙆,TikTok,2026-01-04
15,এই ডেলিভারিটা বেশ খুবই ভালো।,Instagram,2026-03-14
16,চলবে গানটা!,TikTok,2026-02-16
17,সিনেমাটা ঠিক আছে কিন্তু দাম বেশি।,YouTube,2026-02-08
18,বেকার সার্ভিসটি! 😏,YouTube,2026-04-05
19,তাদের প্যাকেজিং একদম আরও ভালো হতে পারত। 🨇,YouTube,2026-01-27
20,আশা করি ডেলিভারি গড়পড়তা হবে। 🦉,Daraz,2026-03-15
21,সার্ভিসটি গড়পড়তা কিন্তু দাম বেশি। 🦅,YouTube,2026-03-31
22,খাবারটা ঠিক আছে কিন্তু দাম বেশি। 🧒,Daraz,2026-03-22
23,এই সার্ভিসটিটা বেশ আরও ভালো হতে পারত। 🨟,Daraz,2026-02-28
24,আশা করি সার্ভিসটি ফাটাফাটি হবে। 🙉,Instagram,2026-01-28
25,এই ডেলিভারিটা বেশ প্রতারণা।,TikTok,2026-01-17
26,বাজে পণ্যটি! 🙍,Instagram,2026-01-03
27,তাদের অ্যাপটা একদম খুবই ভালো। 😟,YouTube,2026-02-05
28,ফোনটা বাজে কিন্তু দাম বেশি। 🙈,YouTube,2026-02-24
29,ফাটাফাটি ভিডিওটা!,YouTube,2026-03-08
30,তাদের সার্ভিসটি একদম অখাদ্য। 😏,Instagram,2026-01-12
31,ডেলিভারি জঘন্য কিন্তু দাম বেশি। 🙊,YouTube,2026-03-24
32,গড়পড়তা কোয়ালিটির পণ্যটি।,YouTube,2026-03-22
33,ঠিক আছে সিনেমাটা! 🥢,Facebook,2026-03-17
34,আমার মতে খাবারটা জঘন্য।,Facebook,2026-02-01
35,এই ডেলিভারিটা বেশ মোটামুটি।,TikTok,2026-03-07
36,ঠিক আছে কোয়ালিটির পণ্যটি।,YouTube,2026-03-05
37,খাবারটা জঘন্য কিন্তু দাম বেশি। 😮,Instagram,2026-02-16
38,বাজে সার্ভিসটি!,YouTube,2026-01-06
39,গানটা টাকা নষ্ট কিন্তু দাম বেশি। 😞,Facebook,2026-03-23
40,টাকা নষ্ট সার্ভিসটি! 😋,YouTube,2026-03-10
41,সার্ভিসটি সাধারণ কিন্তু দাম বেশি। 🨗,YouTube,2026-01-08
42,সিনেমাটা জটিল হয়েছে।,YouTube,2026-01-16
43,এই সিনেমাটাটা বেশ মনমুগ্ধকর।,YouTube,2026-04-06
44,পণ্যটি মনমুগ্ধকর কিন্তু দাম বেশি।,Facebook,2026-02-03
45,আশা করি সিনেমাটা ফাটাফাটি হবে।,TikTok,2026-01-22
46,আমার মতে প্যাকেজিং অসাধারণ। 😀,Facebook,2026-01-02
47,ফোনটা জঘন্য হয়েছে। 🙁,Instagram,2026-01-29
48,সাধারণ খাবারটা! 🥝,TikTok,2026-03-28
49,আরও ভালো হতে পারত পণ্যটি! 🨜,Daraz,2026-04-10
50,আশা করি সিনেমাটা মোটামুটি হবে।,TikTok,2026-04-11
51,জঘন্য কোয়ালিটির খাবারটা। 🙊,YouTube,2026-04-04
52,ফোনটা চমৎকার কিন্তু দাম বেশি।,TikTok,2026-02-14
53,খাবারটা চমৎকার কিন্তু দাম বেশি। 😟,Facebook,2026-01-27
54,এই পণ্যটিটা বেশ জঘন্য।,YouTube,2026-03-08
55,জঘন্য সার্ভিসটি! 😾,Instagram,2026-01-10
56,এই ভিডিওটাটা বেশ সেরা। 😩,Daraz,2026-02-10
57,জটিল ফোনটা!,YouTube,2026-02-27
58,ঠিক আছে কোয়ালিটির খাবারটা।,Daraz,2026-01-16
59,আমার মতে প্যাকেজিং মোটামুটি। 🦒,YouTube,2026-01-12
60,এই গানটাটা বেশ বাজে।,YouTube,2026-01-04
61,ঠিক আছে গানটা! 🨌,YouTube,2026-01-16
62,এই সার্ভিসটিটা বেশ জঘন্য। 👎,Facebook,2026-01-09
63,মনমুগ্ধকর সার্ভিসটি!,Instagram,2026-01-07
64,অ্যাপটা চলনসই হয়েছে।,Instagram,2026-01-23
65,তাদের ডেলিভারি একদম বেকার।,TikTok,2026-03-20
66,গানটা বেকার হয়েছে।,Instagram,2026-01-18
67,ভিডিওটা মোটামুটি কিন্তু দাম বেশি। 🦚,Instagram,2026-03-11
68,গানটা ভালো না খারাপ না কিন্তু দাম বেশি।,Facebook,2026-02-10
69,আশা করি সিনেমাটা ঝাক্কাস হবে। 😔,YouTube,2026-01-13
70,পণ্যটি ঠিক আছে কিন্তু দাম বেশি।,YouTube,2026-01-23
71,আশা করি খাবারটা মোটামুটি হবে। 🧏,YouTube,2026-03-14
72,তাদের গানটা একদম টাকা নষ্ট। 👎,Facebook,2026-01-30
73,আমার মতে খাবারটা জটিল। 😤,YouTube,2026-02-11
74,আশা করি সার্ভিসটি ঝাক্কাস হবে। 😧,Instagram,2026-03-17
75,আশা করি অ্যাপটা ফাটাফাটি হবে।,TikTok,2026-03-30
76,তাদের ভিডিওটা একদম জঘন্য।,Daraz,2026-01-17
77,তাদের অ্যাপটা একদম মোটামুটি। 🨪,TikTok,2026-01-29
78,আমার মতে খাবারটা অসাধারণ।,Daraz,2026-01-22
79,খাবারটা চলনসই হয়েছে।,YouTube,2026-03-30
80,পণ্যটি মোটামুটি কিন্তু দাম বেশি। 🦪,YouTube,2026-02-22
81,চলবে কোয়ালিটির অ্যাপটা। 🧒,YouTube,2026-01-21
82,আশা করি ডেলিভারি চমৎকার হবে।,Facebook,2026-01-10
83,ঝাক্কাস সার্ভিসটি!,TikTok,2026-03-03
84,তাদের ফোনটা একদম আরও ভালো হতে পারত।,Daraz,2026-01-27
85,এই গানটাটা বেশ সাধারণ।,Facebook,2026-01-07
86,আশা করি ফোনটা বাজে হবে।,Facebook,2026-02-07
87,ভিডিওটা ফালতু হয়েছে।,Daraz,2026-01-11
88,টাকা নষ্ট সিনেমাটা! 😞,YouTube,2026-02-17
89,টাকা নষ্ট কোয়ালিটির পণ্যটি। 😏,Daraz,2026-03-14
90,খাবারটা ঝাক্কাস কিন্তু দাম বেশি। 😔,TikTok,2026-01-08
91,আমার মতে গানটা বেকার। 👎,Instagram,2026-04-02
92,গড়পড়তা প্যাকেজিং! 🦱,YouTube,2026-01-22
93,অস্থির পণ্যটি! 😶,YouTube,2026-03-22
94,সার্ভিসটি চলবে কিন্তু দাম বেশি। 🧌,Daraz,2026-02-05
95,প্যাকেজিং জটিল কিন্তু দাম বেশি।,YouTube,2026-01-19
96,জটিল সার্ভিসটি! 🙉,Daraz,2026-02-22
97,প্যাকেজিং চলনসই হয়েছে।,Instagram,2026-01-19
98,আশা করি পণ্যটি অখাদ্য হবে। 😡,Instagram,2026-02-04
99,বেকার ডেলিভারি! 😏,YouTube,2026-02-08
100,অখাদ্য ডেলিভারি!,YouTube,2026-02-22
101,তাদের পণ্যটি একদম বিরক্তিকর।,TikTok,2026-02-21
102,আমার মতে ফোনটা খুবই ভালো। 😗,Facebook,2026-02-28
103,খাবারটা বেকার কিন্তু দাম বেশি। 💔,Facebook,2026-01-31
104,আশা করি সিনেমাটা জটিল হবে।,Daraz,2026-04-06
105,আমার মতে পণ্যটি জঘন্য। 😾,YouTube,2026-03-28
106,মোটামুটি কোয়ালিটির পণ্যটি। 🧤,YouTube,2026-03-18
107,ডেলিভারি সাধারণ কিন্তু দাম বেশি। 🨙,Daraz,2026-02-28
108,আরও ভালো হতে পারত গানটা!,Daraz,2026-03-13
109,বেকার সার্ভিসটি!,Daraz,2026-03-23
110,তাদের ডেলিভারি একদম ঠিক আছে। 🥼,Facebook,2026-03-18
111,এই পণ্যটিটা বেশ ফাটাফাটি।,Instagram,2026-02-21
112,আমার মতে ভিডিওটা ভালো না খারাপ না। 🧢,Instagram,2026-03-27
113,এই গানটাটা বেশ দারুণ।,YouTube,2026-04-05
114,আমার মতে খাবারটা অসাধারণ।,Daraz,2026-02-23
115,টাকা নষ্ট কোয়ালিটির প্যাকেজিং। 😪,Facebook,2026-03-23
116,খুবই ভালো সিনেমাটা! 😨,TikTok,2026-02-08
117,আশা করি ফোনটা খুবই ভালো হবে। 😺,YouTube,2026-02-10
118,তাদের সিনেমাটা একদম মনমুগ্ধকর।,Facebook,2026-01-01
119,দারুণ কোয়ালিটির প্যাকেজিং। 👍,YouTube,2026-03-20
120,সিনেমাটা অখাদ্য হয়েছে।,YouTube,2026-04-04
121,ভিডিওটা মোটামুটি হয়েছে। 🥾,YouTube,2026-03-30
122,এই অ্যাপটাটা বেশ ঝাক্কাস।,Facebook,2026-02-08
123,প্যাকেজিং ভালো না খারাপ না কিন্তু দাম বেশি। 🥡,Daraz,2026-03-04
124,আমার মতে পণ্যটি খুবই খারাপ। 😭,YouTube,2026-04-04
125,এই পণ্যটিটা বেশ অখাদ্য। 😸,Facebook,2026-03-18
126,মোটামুটি পণ্যটি! 🦠,Facebook,2026-03-12
127,পণ্যটি সেরা কিন্তু দাম বেশি। 🙇,Daraz,2026-03-21
128,এই প্যাকেজিংটা বেশ চলবে।,Facebook,2026-03-05
